index stat_dist conf_int99
1 0.131002116460097 0.014203950515831667
3 0.12560606688022075 0.010454918600949922
4 0.15563036900463936 0.026613507285491153
7 0.03837853063604756 0.017926959741327717
9 0.13294426706951343 0.014477087586529457
12 0.030325103048696518 0.011188391065013415
13 0.028982601395636843 0.014513300161929235
16 0.0275314129132841 0.010636361950143476
17 0.03298163103026858 0.009408760646554545
18 0.02920895212905672 0.011665423505981822
19 0.024958383007781398 0.013566414671755398
20 0.06086068503999144 0.019868961299233778
