index stat_dist_diff conf_int99
1 0.3028634212793369 0.08617568421631026
3 0.3460925495323439 0.02247578857792489
4 0.2589623484785677 0.012793939294095516
7 -0.015058804085332306 0.011419053098028082
9 0.25575183901627885 0.022855064103450815
12 -0.01879984356097423 0.009804316190267053
13 -0.020151358101968095 0.012536119144846002
16 -0.013542765521771423 0.005140241931007611
17 -0.0027248082799758086 0.009948095399191196
18 0.002076579637342653 0.01206863982929525
19 -0.0013448796164529965 0.0121960612970959
20 0.006333225834306514 0.015735967347690324
