index stat_dist_diff conf_int99
1 0.02375940654112016 0.0103599857475745
3 0.10212506486670488 0.10369131213013293
4 -0.024028486495271728 0.012225358076140178
7 0.011762036712172387 0.01568345444990428
9 -0.05328127219220202 0.012799804728692146
12 0.01859363549536578 0.006743929432847768
13 0.00998148830326595 0.008069327541619977
16 0.021257587481641686 0.008580531151527205
17 0.026187827621317224 0.009876582869137222
18 0.04181377214976449 0.05366679346661047
19 0.03183535545411201 0.006823068289965308
20 0.023555561645131774 0.007111993238404659
