index stat_dist_diff conf_int99
1 0.023832971380038648 0.021751379156266383
3 0.019059926151493933 0.016803352412100483
4 -0.01948759124476135 0.041946030659987234
7 0.00012463492400844461 0.031926662599281834
9 -0.025476760342528798 0.02016927835375907
12 -0.006963665612462498 0.018490496219856576
13 -0.019995714596881535 0.014623192906198512
16 -0.009729253758271272 0.02086239771456685
17 -0.0027761819424307506 0.011372535910360098
18 -0.003761674283145538 0.016045761142317466
19 -0.00816851210279796 0.01907780351024906
20 0.043653780792666 0.05056275389906294
