index stat_dist conf_int99
1 0.38804757319953437 0.0035702577836593777
3 0.3925628052779779 0.0029139203021487947
4 0.37647171595417234 0.003044661650173435
7 0.053077483528302466 0.0018401664032053928
9 0.4039369453288663 0.0031315806409923284
12 0.05316523155278492 0.0019969830056235038
13 0.052382230593691764 0.0018999430324282045
16 0.05351698132081512 0.0020171939866277582
17 0.05283314119502978 0.0019490686641989176
18 0.05328987834976744 0.0019422296442595985
19 0.053793807958410406 0.0019734394714145177
20 0.03119128599269317 0.0013964636321593586
