index stat_dist_diff conf_int99
1 0.2888010182950205 0.0035702577836593777
3 0.2885744824721268 0.0029139203021487947
4 0.19748889457633143 0.003044661650173435
7 0.008410846454438826 0.0018401664032053928
9 0.22148621734591176 0.0031315806409923284
12 0.005474579919262194 0.0019969830056235038
13 0.004691578960169036 0.0018999430324282045
16 0.011291750496951483 0.0020171939866277582
17 0.015057928126847961 0.0019490686641989176
18 0.021568243051471987 0.0019422296442595985
19 0.02207217266011495 0.0019734394714145177
20 0.00440240104951135 0.0013964636321593586
