index stat_dist conf_int99
1 0.07042399805808729 0.01750254600959409
3 0.1307990527243444 0.01839330517308956
4 0.10490033527850963 0.010277247800217012
7 0.07421264169222816 0.005086213901234543
9 0.06314897029763787 0.002234836963027615
12 0.07439581895724008 0.004908200040080424
13 0.07384824114395869 0.004921656830931104
16 0.07489072550965176 0.005000750712887857
17 0.0762794054974508 0.006781185862405216
18 0.07559701749237001 0.006009849433565009
19 0.07307446951834222 0.00214703683441945
20 0.08723629839338612 0.007452242287159977
