index stat_dist conf_int99
1 0.091033935546875 0.02723864314271862
2 0.08385067894345238 0.0772046995741702
3 0.11243257068452381 0.0070744009315237754
4 0.09711788862179487 0.028050763338034843
5 0.1365017361111111 0.00667634711958852
6 0.059061686197916664 0.0058713864638878085
7 0.032958984375 0.006709150737662078
8 0.1075439453125 0.07981657505833423
9 0.17198350694444445 0.008733571984900866
10 0.1648898654513889 0.0890550403808758
11 0.12287055121527778 0.005004431938566695
12 0.031052362351190476 0.003413629890295906
13 0.031052362351190476 0.003413629890295906
14 0.0821804470486111 0.0034994177009894604
15 0.18577745225694445 0.1799646070772207
16 0.03333875868055555 0.003957896521087416
17 0.12457275390625 0.012450852933664786
18 0.070068359375 0.004184141769305369
19 0.070068359375 0.004184141769305369
20 0.1241455078125 0.019335059022882645
