name T1 sigma(T1) T2 sigma(T2) gateError sigma(gateError) readoutError sigma(readoutError)
Q0 4.5761394992335204e-05 6.533104754402174e-06 3.982845828162639e-05 7.2808585505352315e-06 0.0010241296792490096 0.00020894372540194745 0.04111019052485583 0.00629192826642451
Q1 5.679194101759252e-05 6.84146555971259e-06 4.473533469596321e-05 6.335786521132446e-06 0.0008130544878602845 0.00034692020529052754 0.047309000656982264 0.009594421583335757
Q2 3.900369370027009e-05 5.073455415762868e-06 4.0379294109059055e-05 3.1968505435994042e-06 0.0015285727273005652 0.0002353252803414579 0.02727783049857654 0.0035998379461931705
Q3 4.003238557558946e-05 4.803942221847981e-06 5.741640630702971e-05 1.2479412948549455e-05 0.0014878815292376695 0.0001573662914243094 0.062006387327542156 0.011051925084748905
Q4 5.3769647419519674e-05 9.146820619050877e-06 2.0946481494999635e-05 1.3474556006918988e-06 0.001855114961678993 0.0002606179176798011 0.0510334695963209 0.01103319725666919
