index stat_dist_diff conf_int99
1 0.04677114760112974 0.01750254600959409
3 0.04906982645527162 0.01839330517308956
4 0.006752349208344541 0.010277247800217012
7 0.027714120226106663 0.005086213901234543
9 -0.0902392869989423 0.002234836963027615
12 0.02853596028241697 0.004908200040080424
13 0.027988382469135577 0.004921656830931104
16 0.02853394853441591 0.005000750712887857
17 0.014103405205394721 0.006781185862405216
18 0.038252714721143596 0.006009849433565009
19 0.03573016674711581 0.00214703683441945
20 0.03491833146873659 0.007452242287159977
