index stat_dist conf_int99
1 0.0798605561209784 0.02228633162611022
3 0.06831366112070573 0.014491497912179753
4 0.06382272405381845 0.011302773687615066
7 0.04793188125563503 0.003755696655914468
9 0.07035244745866573 0.022640614982541343
12 0.046521236871349944 0.0020519699129550027
13 0.047109494009354894 0.002528228355893442
16 0.04783121497332107 0.003333208925611886
17 0.04643303346304038 0.0019239193157828992
18 0.046326463670554686 0.0025762867071035507
19 0.047871788550127976 0.004149199046133876
20 0.0578567684400891 0.003368961017748643
