index stat_dist conf_int99
1 0.04650245522553066 0.006067286424699056
2 0.04312577941607981 0.00454881503522122
3 0.1005836342865566 0.010522376776332094
4 0.05542572093972684 0.005538258662240298
5 0.09790960347877359 0.017280264795619723
6 0.0473450277453271 0.010201114962597044
7 0.0440571152161215 0.004424846186513139
8 0.07452392578125 0.012285711164488813
9 0.1574281465022936 0.003059628544801745
10 0.08723919208233173 0.002433583553077149
11 0.09151703456662735 0.017330596446131934
12 0.043853183962264154 0.002139534944069582
13 0.043853183962264154 0.002139534944069582
14 0.08411671290887851 0.01816701353349249
15 0.08594325803360849 0.01474776367788282
16 0.041648793443341124 0.0020516233901129314
17 0.1034884982638889 0.003724521296048488
18 0.025278436569940475 0.00233745132796772
19 0.025278436569940475 0.00233745132796772
20 0.09784448926693926 0.0035658643838495504
