index stat_dist_diff conf_int99
1 0.19499450077830083 0.010105036704380335
3 0.20030861697318036 0.014280898938467476
4 0.2193914359351863 0.01856196983414229
7 -0.011435487331250861 0.004555997388289032
9 0.14455394671353466 0.015518959131355547
12 -0.01390996378254785 0.0027076485215093353
13 -0.014051586376544713 0.0031807544381522988
16 -0.008676832166183535 0.0029463444270904715
17 -0.07147447571186791 0.002873252786538453
18 0.007550114361220068 0.003134140128273956
19 0.004914238210180319 0.003296672094609562
20 -0.0669053998970242 0.002976633286459377
