index stat_dist conf_int99
1 0.29947328752070146 0.015137831457633224
3 0.2705607824000676 0.005014090006808172
4 0.23835931349245054 0.004174127331338855
7 0.07678633720974172 0.0024903600181572314
9 0.34044089522643434 0.013325195001046104
12 0.0770530241387002 0.0023888693677648056
13 0.07768452168714793 0.002868551479782923
16 0.0778050685851429 0.0035802460037697103
17 0.07688894647800583 0.002490492072392926
18 0.07807176737940022 0.003134915597448939
19 0.0767901266209695 0.002525971801440024
20 0.07508093368428483 0.0033774622833100927
