index stat_dist_diff conf_int99
1 0.17383199985701547 0.010105036704380335
3 0.22789710391710039 0.014280898938467476
4 0.15678261498817606 0.01856196983414229
7 0.0021839088428145595 0.004555997388289032
9 0.17117684373174807 0.015518959131355547
12 -0.0002995551090870137 0.0027076485215093353
13 -0.00044117770308387677 0.0031807544381522988
16 0.0027952587417802294 0.0029463444270904715
17 6.0121778072394494e-05 0.002873252786538453
18 0.010745340435877524 0.003134140128273956
19 0.008109464284837775 0.003296672094609562
20 0.006154165634796007 0.002976633286459377
