index stat_dist_diff conf_int99
1 0.2559701920018335 0.015137831457633224
3 0.15285275616186006 0.005014090006808172
4 0.18783670177926765 0.004174127331338855
7 0.03257385195030776 0.0024903600181572314
9 0.20422738068650378 0.013325195001046104
12 0.03377506773392426 0.0023888693677648056
13 0.03440656528237199 0.002868551479782923
16 0.0353833317779495 0.0035802460037697103
17 0.02432731248626055 0.002490492072392926
18 0.039352661436059096 0.003134915597448939
19 0.038071020677628374 0.002525971801440024
20 0.024548387685453053 0.0033774622833100927
