index stat_dist_diff conf_int99
1 0.18857064655021516 0.010105036704380335
3 0.19825875700855772 0.014280898938467476
4 0.1716304913085986 0.01856196983414229
7 -0.0008809148627708721 0.004555997388289032
9 0.1471771732009473 0.015518959131355547
12 -0.0033309692275606886 0.0027076485215093353
13 -0.0034725918215575517 0.0031807544381522988
16 -0.000220896126463907 0.0029463444270904715
17 -0.07509691863312051 0.002873252786538453
18 -0.015300807093080113 0.003134140128273956
19 -0.01793668324411986 0.003296672094609562
20 -0.061698587689080264 0.002976633286459377
