index stat_dist_diff conf_int99
1 0.2529708322951708 0.015137831457633224
3 0.169977148113511 0.005014090006808172
4 0.1829335925527237 0.004174127331338855
7 0.032729221993620224 0.0024903600181572314
9 0.18301274872414075 0.013325195001046104
12 0.03319984017643605 0.0023888693677648056
13 0.033831337724883774 0.002868551479782923
16 0.03615627514180177 0.0035802460037697103
17 -0.026599551785883066 0.002490492072392926
18 0.05279333080945975 0.003134915597448939
19 0.05151169005102903 0.002525971801440024
20 -0.02276355558265443 0.0033774622833100927
